file	index	id	offset	z_level	flags	x	y	z	width	height	depth	quads
stage7_s.std	1	1	1248	0	0	-144	-192	-264	432	576	280	2
stage7_s.std	2	2	1336	2	0	72	-48	-192	96	96	0	1
stage7_s.std	3	3	1396	1	0	170	-192	-112	450	576	0	1
stage7_s.std	4	4	1456	2	0	-144	-192	-264	432	576	280	2
stage8.std	0	0	1180	0	0	-352	-128	-12	816	384	0	1
stage8.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage8.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
stage8_s.std	0	0	1180	0	0	-352	-128	-12	816	384	0	1
stage8_s.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage8_s.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
