file	sub	offset	opcode	mask	operand_flags
ecldata1.ecl	27	17420	96	255	68
ecldata1.ecl	27	17572	96	255	68
ecldata1.ecl	27	17616	96	255	68
ecldata1.ecl	27	17700	96	255	68
ecldata1.ecl	27	17744	96	255	68
ecldata1.ecl	27	17828	96	255	68
ecldata1.ecl	27	17872	96	255	68
ecldata1.ecl	27	17956	96	255	68
ecldata1.ecl	27	18000	96	255	68
ecldata1.ecl	27	18152	96	255	68
ecldata1.ecl	27	18196	96	255	68
ecldata1.ecl	27	18280	96	255	68
ecldata1.ecl	27	18324	96	255	68
ecldata1.ecl	27	18408	96	255	68
ecldata1.ecl	27	18452	96	255	68
ecldata1.ecl	27	18536	96	255	68
ecldata1.ecl	27	18580	96	255	68
ecldata1.ecl	29	18840	96	241	16
ecldata1.ecl	29	18884	96	242	16
ecldata1.ecl	29	18928	96	244	16
ecldata1.ecl	29	18972	96	248	16
ecldata1.ecl	30	19264	99	255	80
ecldata1.ecl	30	19328	99	255	80
ecldata1.ecl	30	19392	99	255	80
ecldata1.ecl	31	19520	99	255	64
ecldata1.ecl	34	21156	98	241	0
ecldata1.ecl	34	21200	98	242	0
ecldata1.ecl	34	21244	98	244	0
ecldata1.ecl	34	21288	98	248	0
ecldata1.ecl	35	21896	104	241	0
ecldata1.ecl	35	21940	104	242	0
ecldata1.ecl	35	21984	104	244	0
ecldata1.ecl	35	22028	104	248	0
ecldata1.ecl	40	25660	99	241	64
ecldata1.ecl	40	25704	99	242	64
ecldata1.ecl	40	25748	99	244	64
ecldata1.ecl	40	25792	99	248	64
ecldata1.ecl	40	25836	97	241	64
ecldata1.ecl	40	25880	97	242	64
ecldata1.ecl	40	25924	97	244	64
ecldata1.ecl	40	25968	97	248	64
ecldata1.ecl	40	26052	97	242	64
ecldata1.ecl	40	26096	97	242	64
ecldata1.ecl	40	26140	97	244	64
ecldata1.ecl	40	26184	97	244	64
ecldata1.ecl	40	26228	97	248	64
ecldata1.ecl	40	26272	97	248	64
ecldata1.ecl	41	26604	99	241	64
ecldata1.ecl	41	26648	99	242	64
ecldata1.ecl	41	26692	99	244	64
ecldata1.ecl	41	26736	99	248	64
ecldata1.ecl	41	26780	97	241	64
ecldata1.ecl	41	26824	97	242	64
ecldata1.ecl	41	26868	97	244	64
ecldata1.ecl	41	26912	97	248	64
ecldata1.ecl	41	26996	97	242	64
ecldata1.ecl	41	27040	97	242	64
ecldata1.ecl	41	27084	97	244	64
ecldata1.ecl	41	27128	97	244	64
ecldata1.ecl	41	27172	97	248	64
ecldata1.ecl	41	27216	97	248	64
ecldata1.ecl	42	27628	96	63	0
ecldata1.ecl	42	27672	96	95	24
ecldata1.ecl	42	27732	96	63	0
ecldata1.ecl	45	29976	104	255	0
ecldata1.ecl	47	31080	99	255	84
ecldata1.ecl	47	31164	99	244	84
ecldata1.ecl	47	31208	99	248	84
ecldata1.ecl	47	31372	99	255	84
ecldata1.ecl	47	31456	99	244	84
ecldata1.ecl	47	31500	99	248	84
ecldata1.ecl	47	31664	99	255	84
ecldata1.ecl	47	31748	99	244	84
ecldata1.ecl	47	31792	99	248	84
ecldata1.ecl	47	32020	99	255	84
ecldata1.ecl	47	32104	99	244	84
ecldata1.ecl	47	32148	99	248	84
ecldata1.ecl	47	32312	99	255	84
ecldata1.ecl	47	32396	99	244	84
ecldata1.ecl	47	32440	99	248	84
ecldata1.ecl	47	32604	99	255	84
ecldata1.ecl	47	32688	99	244	84
ecldata1.ecl	47	32732	99	248	84
ecldata1.ecl	49	34816	99	255	84
ecldata1.ecl	49	34900	99	244	84
ecldata1.ecl	49	34944	99	248	84
ecldata1.ecl	49	35108	99	255	84
ecldata1.ecl	49	35192	99	244	84
ecldata1.ecl	49	35236	99	248	84
ecldata1.ecl	49	35400	99	255	84
ecldata1.ecl	49	35484	99	244	84
ecldata1.ecl	49	35528	99	248	84
ecldata1.ecl	49	35756	99	255	84
ecldata1.ecl	49	35840	99	244	84
ecldata1.ecl	49	35884	99	248	84
ecldata1.ecl	49	36048	99	255	84
ecldata1.ecl	49	36132	99	244	84
ecldata1.ecl	49	36176	99	248	84
ecldata1.ecl	49	36340	99	255	84
ecldata1.ecl	49	36424	99	244	84
ecldata1.ecl	49	36468	99	248	84
ecldata1sp.ecl	2	1236	96	255	64
ecldata1sp.ecl	2	1320	96	255	64
ecldata1sp.ecl	2	1452	96	255	64
ecldata1sp.ecl	2	1536	96	255	64
ecldata1sp.ecl	2	1620	96	255	64
ecldata1sp.ecl	2	1704	96	255	64
ecldata1sp.ecl	2	1836	96	255	64
ecldata1sp.ecl	2	1920	96	255	64
ecldata1sp.ecl	2	2004	96	255	64
ecldata1sp.ecl	2	2088	96	255	64
ecldata1sp.ecl	2	2192	96	255	64
ecldata1sp.ecl	2	2276	96	255	64
ecldata1sp.ecl	2	2360	96	255	64
ecldata1sp.ecl	2	2444	96	255	64
ecldata1sp.ecl	2	2528	96	255	64
ecldata1sp.ecl	2	2612	96	255	64
ecldata1sp.ecl	2	2768	96	255	64
ecldata1sp.ecl	2	2852	96	255	64
ecldata1sp.ecl	2	2984	96	255	64
ecldata1sp.ecl	2	3068	96	255	64
ecldata1sp.ecl	2	3152	96	255	64
ecldata1sp.ecl	2	3236	96	255	64
ecldata1sp.ecl	2	3368	96	255	64
ecldata1sp.ecl	2	3452	96	255	64
ecldata1sp.ecl	2	3536	96	255	64
ecldata1sp.ecl	2	3620	96	255	64
ecldata1sp.ecl	2	3724	96	255	64
ecldata1sp.ecl	2	3808	96	255	64
ecldata1sp.ecl	2	3892	96	255	64
ecldata1sp.ecl	2	3976	96	255	64
ecldata1sp.ecl	2	4060	96	255	64
ecldata1sp.ecl	2	4144	96	255	64
ecldata1sp.ecl	2	4388	97	241	0
ecldata1sp.ecl	2	4432	97	242	0
ecldata1sp.ecl	2	4476	97	244	0
ecldata1sp.ecl	2	4520	97	248	0
ecldata1sp.ecl	2	4564	97	255	0
ecldata1sp.ecl	2	4648	97	241	0
ecldata1sp.ecl	2	4692	97	242	0
ecldata1sp.ecl	2	4736	97	244	0
ecldata1sp.ecl	2	4780	97	248	0
ecldata1sp.ecl	2	4824	97	255	0
ecldata1sp.ecl	2	4988	97	241	0
ecldata1sp.ecl	2	5032	97	242	0
ecldata1sp.ecl	2	5076	97	244	0
ecldata1sp.ecl	2	5120	97	248	0
ecldata1sp.ecl	2	5164	97	255	0
ecldata1sp.ecl	2	5248	97	241	0
ecldata1sp.ecl	2	5292	97	242	0
ecldata1sp.ecl	2	5336	97	244	0
ecldata1sp.ecl	2	5380	97	248	0
ecldata1sp.ecl	2	5424	97	255	0
ecldata1sp.ecl	3	6156	99	241	64
ecldata1sp.ecl	3	6200	99	242	64
ecldata1sp.ecl	3	6244	99	244	64
ecldata1sp.ecl	3	6288	99	248	64
ecldata1sp.ecl	5	6600	97	241	64
ecldata1sp.ecl	5	6644	97	242	64
ecldata1sp.ecl	5	6688	97	244	64
ecldata1sp.ecl	5	6732	97	248	64
ecldata1sp.ecl	6	6996	97	241	64
ecldata1sp.ecl	6	7040	97	242	64
ecldata1sp.ecl	6	7084	97	244	64
ecldata1sp.ecl	6	7128	97	248	64
ecldata1sp.ecl	7	7324	96	244	0
ecldata1sp.ecl	7	7368	96	248	0
ecldata1sp.ecl	7	7412	98	244	0
ecldata1sp.ecl	7	7456	98	248	0
ecldata1sp.ecl	9	9616	99	255	64
ecldata1sp.ecl	13	11968	96	255	68
ecldata1sp.ecl	13	12012	96	255	68
ecldata1sp.ecl	13	12096	96	255	68
ecldata1sp.ecl	13	12140	96	255	68
ecldata1sp.ecl	13	12224	96	255	68
ecldata1sp.ecl	13	12268	96	255	68
ecldata1sp.ecl	13	12352	96	255	68
ecldata1sp.ecl	13	12396	96	255	68
ecldata1sp.ecl	13	12548	96	255	68
ecldata1sp.ecl	13	12592	96	255	68
ecldata1sp.ecl	13	12676	96	255	68
ecldata1sp.ecl	13	12720	96	255	68
ecldata1sp.ecl	13	12804	96	255	68
ecldata1sp.ecl	13	12848	96	255	68
ecldata1sp.ecl	13	12932	96	255	68
ecldata1sp.ecl	13	12976	96	255	68
ecldata1sp.ecl	13	13128	96	255	68
ecldata1sp.ecl	13	13172	96	255	68
ecldata1sp.ecl	13	13256	96	255	68
ecldata1sp.ecl	13	13300	96	255	68
ecldata1sp.ecl	13	13384	96	255	68
ecldata1sp.ecl	13	13428	96	255	68
ecldata1sp.ecl	13	13512	96	255	68
ecldata1sp.ecl	13	13556	96	255	68
ecldata1sp.ecl	15	13816	96	241	16
ecldata1sp.ecl	15	13860	96	242	16
ecldata1sp.ecl	15	13904	96	244	16
ecldata1sp.ecl	15	13948	96	248	16
ecldata1sp.ecl	16	14240	99	255	80
ecldata1sp.ecl	16	14304	99	255	80
ecldata1sp.ecl	16	14368	99	255	80
ecldata1sp.ecl	17	14496	99	255	64
ecldata1sp.ecl	20	16132	98	241	0
ecldata1sp.ecl	20	16176	98	242	0
ecldata1sp.ecl	20	16220	98	244	0
ecldata1sp.ecl	20	16264	98	248	0
ecldata1sp.ecl	21	16872	104	241	0
ecldata1sp.ecl	21	16916	104	242	0
ecldata1sp.ecl	21	16960	104	244	0
ecldata1sp.ecl	21	17004	104	248	0
ecldata1sp.ecl	26	20636	99	241	64
ecldata1sp.ecl	26	20680	99	242	64
ecldata1sp.ecl	26	20724	99	244	64
ecldata1sp.ecl	26	20768	99	248	64
ecldata1sp.ecl	26	20812	97	241	64
ecldata1sp.ecl	26	20856	97	242	64
ecldata1sp.ecl	26	20900	97	244	64
ecldata1sp.ecl	26	20944	97	248	64
ecldata1sp.ecl	26	21028	97	242	64
ecldata1sp.ecl	26	21072	97	242	64
ecldata1sp.ecl	26	21116	97	244	64
ecldata1sp.ecl	26	21160	97	244	64
ecldata1sp.ecl	26	21204	97	248	64
ecldata1sp.ecl	26	21248	97	248	64
ecldata1sp.ecl	27	21580	99	241	64
ecldata1sp.ecl	27	21624	99	242	64
ecldata1sp.ecl	27	21668	99	244	64
ecldata1sp.ecl	27	21712	99	248	64
ecldata1sp.ecl	27	21756	97	241	64
ecldata1sp.ecl	27	21800	97	242	64
ecldata1sp.ecl	27	21844	97	244	64
ecldata1sp.ecl	27	21888	97	248	64
ecldata1sp.ecl	27	21972	97	242	64
ecldata1sp.ecl	27	22016	97	242	64
ecldata1sp.ecl	27	22060	97	244	64
ecldata1sp.ecl	27	22104	97	244	64
ecldata1sp.ecl	27	22148	97	248	64
ecldata1sp.ecl	27	22192	97	248	64
ecldata1sp.ecl	28	22604	96	63	0
ecldata1sp.ecl	28	22648	96	95	24
ecldata1sp.ecl	28	22708	96	63	0
ecldata1sp.ecl	31	24952	104	255	0
ecldata1sp.ecl	33	26056	99	255	84
ecldata1sp.ecl	33	26140	99	244	84
ecldata1sp.ecl	33	26184	99	248	84
ecldata1sp.ecl	33	26348	99	255	84
ecldata1sp.ecl	33	26432	99	244	84
ecldata1sp.ecl	33	26476	99	248	84
ecldata1sp.ecl	33	26640	99	255	84
ecldata1sp.ecl	33	26724	99	244	84
ecldata1sp.ecl	33	26768	99	248	84
ecldata1sp.ecl	33	26996	99	255	84
ecldata1sp.ecl	33	27080	99	244	84
ecldata1sp.ecl	33	27124	99	248	84
ecldata1sp.ecl	33	27288	99	255	84
ecldata1sp.ecl	33	27372	99	244	84
ecldata1sp.ecl	33	27416	99	248	84
ecldata1sp.ecl	33	27580	99	255	84
ecldata1sp.ecl	33	27664	99	244	84
ecldata1sp.ecl	33	27708	99	248	84
ecldata1sp.ecl	35	29792	99	255	84
ecldata1sp.ecl	35	29876	99	244	84
ecldata1sp.ecl	35	29920	99	248	84
ecldata1sp.ecl	35	30084	99	255	84
ecldata1sp.ecl	35	30168	99	244	84
ecldata1sp.ecl	35	30212	99	248	84
ecldata1sp.ecl	35	30376	99	255	84
ecldata1sp.ecl	35	30460	99	244	84
ecldata1sp.ecl	35	30504	99	248	84
ecldata1sp.ecl	35	30732	99	255	84
ecldata1sp.ecl	35	30816	99	244	84
ecldata1sp.ecl	35	30860	99	248	84
ecldata1sp.ecl	35	31024	99	255	84
ecldata1sp.ecl	35	31108	99	244	84
ecldata1sp.ecl	35	31152	99	248	84
ecldata1sp.ecl	35	31316	99	255	84
ecldata1sp.ecl	35	31400	99	244	84
ecldata1sp.ecl	35	31444	99	248	84
ecldata1sp.ecl	37	33160	99	255	84
ecldata1sp.ecl	37	33244	99	244	84
ecldata1sp.ecl	37	33288	99	248	84
ecldata1sp.ecl	37	33452	99	255	84
ecldata1sp.ecl	37	33536	99	244	84
ecldata1sp.ecl	37	33580	99	248	84
ecldata1sp.ecl	37	33744	99	255	84
ecldata1sp.ecl	37	33828	99	244	84
ecldata1sp.ecl	37	33872	99	248	84
ecldata1sp.ecl	37	34100	99	255	84
ecldata1sp.ecl	37	34184	99	244	84
ecldata1sp.ecl	37	34228	99	248	84
ecldata1sp.ecl	37	34392	99	255	84
ecldata1sp.ecl	37	34476	99	244	84
ecldata1sp.ecl	37	34520	99	248	84
ecldata1sp.ecl	37	34684	99	255	84
ecldata1sp.ecl	37	34768	99	244	84
ecldata1sp.ecl	37	34812	99	248	84
ecldata1sp.ecl	38	35072	99	255	64
ecldata1sp.ecl	38	35200	99	255	64
ecldata2.ecl	1	436	96	244	0
ecldata2.ecl	1	480	96	248	0
ecldata2.ecl	2	756	96	242	0
ecldata2.ecl	2	800	96	244	0
ecldata2.ecl	2	844	96	248	0
ecldata2.ecl	3	1136	96	242	0
ecldata2.ecl	3	1180	96	244	0
ecldata2.ecl	3	1224	96	248	0
ecldata2.ecl	4	1516	96	244	0
ecldata2.ecl	4	1560	96	248	0
ecldata2.ecl	4	1808	96	241	0
ecldata2.ecl	4	1852	96	242	0
ecldata2.ecl	4	1896	96	244	0
ecldata2.ecl	4	1940	96	248	0
ecldata2.ecl	4	1984	98	241	0
ecldata2.ecl	4	2028	98	242	0
ecldata2.ecl	4	2072	98	244	0
ecldata2.ecl	4	2116	98	248	0
ecldata2.ecl	6	2480	96	244	0
ecldata2.ecl	6	2524	96	248	0
ecldata2.ecl	6	2772	96	241	0
ecldata2.ecl	6	2816	96	242	0
ecldata2.ecl	6	2860	96	244	0
ecldata2.ecl	6	2904	96	248	0
ecldata2.ecl	6	2948	98	241	0
ecldata2.ecl	6	2992	98	242	0
ecldata2.ecl	6	3036	98	244	0
ecldata2.ecl	6	3080	98	248	0
ecldata2.ecl	8	3760	96	242	4
ecldata2.ecl	8	3804	96	244	4
ecldata2.ecl	8	3848	96	248	4
ecldata2.ecl	9	4100	96	241	0
ecldata2.ecl	9	4144	96	242	0
ecldata2.ecl	9	4188	96	244	0
ecldata2.ecl	9	4232	96	248	0
ecldata2.ecl	11	4672	96	242	0
ecldata2.ecl	11	4716	96	244	0
ecldata2.ecl	11	4760	96	248	0
ecldata2.ecl	11	5036	96	255	0
ecldata2.ecl	11	5188	96	255	0
ecldata2.ecl	13	5692	96	242	0
ecldata2.ecl	13	5736	96	244	0
ecldata2.ecl	13	5780	98	248	0
ecldata2.ecl	13	5912	96	255	0
ecldata2.ecl	13	6236	96	255	0
ecldata2.ecl	13	6280	96	255	0
ecldata2.ecl	13	6324	96	247	0
ecldata2.ecl	13	6368	98	248	0
ecldata2.ecl	14	6560	98	248	0
ecldata2.ecl	14	6940	96	255	0
ecldata2.ecl	14	6984	96	255	0
ecldata2.ecl	14	7028	96	247	0
ecldata2.ecl	14	7072	98	248	0
ecldata2.ecl	18	8472	97	241	64
ecldata2.ecl	18	8516	97	242	64
ecldata2.ecl	18	8560	97	244	64
ecldata2.ecl	18	8604	97	248	64
ecldata2.ecl	20	9784	97	255	64
ecldata2.ecl	24	12444	97	255	66
ecldata2.ecl	24	12528	97	252	66
ecldata2.ecl	24	12632	97	255	66
ecldata2.ecl	24	12716	97	252	66
ecldata2.ecl	26	13408	97	241	64
ecldata2.ecl	26	13452	97	242	64
ecldata2.ecl	26	13496	97	244	192
ecldata2.ecl	26	13540	97	248	192
ecldata2.ecl	26	13728	97	241	64
ecldata2.ecl	26	13772	97	242	64
ecldata2.ecl	26	13816	97	244	192
ecldata2.ecl	26	13860	97	248	192
ecldata2.ecl	28	15444	97	255	64
ecldata2.ecl	30	17568	99	255	64
ecldata2.ecl	31	18136	97	243	64
ecldata2.ecl	31	18180	97	244	64
ecldata2.ecl	31	18224	97	248	192
ecldata2.ecl	31	18432	97	243	64
ecldata2.ecl	31	18476	97	244	64
ecldata2.ecl	31	18520	97	248	64
ecldata2.ecl	34	20936	97	255	80
ecldata2.ecl	36	21832	98	255	0
ecldata2.ecl	36	21916	98	255	0
ecldata2.ecl	39	23752	97	255	80
ecldata2.ecl	41	24324	99	255	64
ecldata2.ecl	42	24832	99	255	0
ecldata2.ecl	42	24952	99	255	0
ecldata2.ecl	42	25072	99	255	0
ecldata2.ecl	44	27556	96	255	0
ecldata2.ecl	45	27988	96	247	0
ecldata2.ecl	45	28032	96	248	0
ecldata2.ecl	46	28308	99	255	64
ecldata2.ecl	46	28392	99	248	64
ecldata2.ecl	48	28984	97	255	64
ecldata2.ecl	48	29068	97	248	64
ecldata2.ecl	52	31456	96	255	64
ecldata2.ecl	52	31668	96	255	64
ecldata2.ecl	52	31980	96	255	64
ecldata2.ecl	52	32192	96	255	64
ecldata2.ecl	54	32640	99	241	64
ecldata2.ecl	54	32684	97	242	64
ecldata2.ecl	54	32728	97	244	64
ecldata2.ecl	54	32772	97	248	64
ecldata2.ecl	54	32856	97	242	64
ecldata2.ecl	54	32900	97	244	64
ecldata2.ecl	54	32944	97	248	64
ecldata2.ecl	59	36440	99	255	64
ecldata2.ecl	61	37456	97	243	64
ecldata2.ecl	61	37500	97	244	64
ecldata2.ecl	61	37544	97	248	64
ecldata2.ecl	61	37752	97	243	64
ecldata2.ecl	61	37796	97	244	64
ecldata2.ecl	61	37840	97	248	64
ecldata2sp.ecl	2	1336	97	241	64
ecldata2sp.ecl	2	1380	97	242	64
ecldata2sp.ecl	2	1424	97	244	64
ecldata2sp.ecl	2	1468	97	248	64
ecldata2sp.ecl	4	2648	97	255	64
ecldata2sp.ecl	8	5308	97	255	66
ecldata2sp.ecl	8	5392	97	252	66
ecldata2sp.ecl	8	5496	97	255	66
ecldata2sp.ecl	8	5580	97	252	66
ecldata2sp.ecl	10	6272	97	241	64
ecldata2sp.ecl	10	6316	97	242	64
ecldata2sp.ecl	10	6360	97	244	192
ecldata2sp.ecl	10	6404	97	248	192
ecldata2sp.ecl	10	6592	97	241	64
ecldata2sp.ecl	10	6636	97	242	64
ecldata2sp.ecl	10	6680	97	244	192
ecldata2sp.ecl	10	6724	97	248	192
ecldata2sp.ecl	12	8308	97	255	64
ecldata2sp.ecl	14	10432	99	255	64
ecldata2sp.ecl	15	11000	97	243	64
ecldata2sp.ecl	15	11044	97	244	64
ecldata2sp.ecl	15	11088	97	248	192
ecldata2sp.ecl	15	11296	97	243	64
ecldata2sp.ecl	15	11340	97	244	64
ecldata2sp.ecl	15	11384	97	248	64
ecldata2sp.ecl	18	13800	97	255	80
ecldata2sp.ecl	20	14696	98	255	0
ecldata2sp.ecl	20	14780	98	255	0
ecldata2sp.ecl	23	16616	97	255	80
ecldata2sp.ecl	25	17188	99	255	64
ecldata2sp.ecl	26	17696	99	255	0
ecldata2sp.ecl	26	17816	99	255	0
ecldata2sp.ecl	26	17936	99	255	0
ecldata2sp.ecl	28	20420	96	255	0
ecldata2sp.ecl	29	20852	96	247	0
ecldata2sp.ecl	29	20896	96	248	0
ecldata2sp.ecl	30	21172	99	255	64
ecldata2sp.ecl	30	21256	99	248	64
ecldata2sp.ecl	32	21848	97	255	64
ecldata2sp.ecl	32	21932	97	248	64
ecldata2sp.ecl	36	24320	96	255	64
ecldata2sp.ecl	36	24532	96	255	64
ecldata2sp.ecl	36	24844	96	255	64
ecldata2sp.ecl	36	25056	96	255	64
ecldata2sp.ecl	38	25504	99	241	64
ecldata2sp.ecl	38	25548	97	242	64
ecldata2sp.ecl	38	25592	97	244	64
ecldata2sp.ecl	38	25636	97	248	64
ecldata2sp.ecl	38	25720	97	242	64
ecldata2sp.ecl	38	25764	97	244	64
ecldata2sp.ecl	38	25808	97	248	64
ecldata2sp.ecl	43	29304	99	255	64
ecldata2sp.ecl	45	30320	97	243	64
ecldata2sp.ecl	45	30364	97	244	64
ecldata2sp.ecl	45	30408	97	248	64
ecldata2sp.ecl	45	30616	97	243	64
ecldata2sp.ecl	45	30660	97	244	64
ecldata2sp.ecl	45	30704	97	248	64
ecldata2sp.ecl	48	31836	97	255	112
ecldata2sp.ecl	48	32048	97	255	112
ecldata2sp.ecl	48	32260	97	255	112
ecldata2sp.ecl	48	32472	97	255	112
ecldata2sp.ecl	48	32640	99	255	68
ecldata3.ecl	0	696	96	244	0
ecldata3.ecl	0	740	96	248	0
ecldata3.ecl	0	824	97	242	64
ecldata3.ecl	0	868	97	244	64
ecldata3.ecl	0	912	97	248	64
ecldata3.ecl	0	996	97	255	64
ecldata3.ecl	0	1040	97	255	64
ecldata3.ecl	0	1124	97	255	64
ecldata3.ecl	0	1208	97	242	64
ecldata3.ecl	0	1252	97	244	64
ecldata3.ecl	0	1296	97	248	64
ecldata3.ecl	1	1452	96	242	0
ecldata3.ecl	1	1496	96	244	0
ecldata3.ecl	1	1540	96	248	0
ecldata3.ecl	2	1748	98	241	0
ecldata3.ecl	2	1792	98	242	0
ecldata3.ecl	2	1836	98	244	0
ecldata3.ecl	2	1880	98	248	0
ecldata3.ecl	4	2428	98	241	0
ecldata3.ecl	4	2472	98	242	0
ecldata3.ecl	4	2516	98	244	0
ecldata3.ecl	4	2560	98	248	0
ecldata3.ecl	5	2948	98	241	0
ecldata3.ecl	5	2992	98	242	0
ecldata3.ecl	5	3036	98	244	0
ecldata3.ecl	5	3080	98	248	0
ecldata3.ecl	6	3468	98	241	0
ecldata3.ecl	6	3512	98	242	0
ecldata3.ecl	6	3556	98	244	0
ecldata3.ecl	6	3600	98	248	0
ecldata3.ecl	7	4072	98	241	0
ecldata3.ecl	7	4116	98	242	0
ecldata3.ecl	7	4160	98	244	0
ecldata3.ecl	7	4204	98	248	0
ecldata3.ecl	8	4384	96	241	0
ecldata3.ecl	8	4428	96	242	0
ecldata3.ecl	8	4472	96	244	0
ecldata3.ecl	8	4516	96	248	0
ecldata3.ecl	8	4660	97	255	16
ecldata3.ecl	8	4828	96	244	0
ecldata3.ecl	8	4872	96	248	0
ecldata3.ecl	8	4916	97	242	16
ecldata3.ecl	8	4960	97	244	16
ecldata3.ecl	8	5004	97	248	16
ecldata3.ecl	11	5620	98	255	0
ecldata3.ecl	13	6340	98	242	0
ecldata3.ecl	13	6384	98	244	0
ecldata3.ecl	13	6428	98	248	0
ecldata3.ecl	14	6820	98	242	0
ecldata3.ecl	14	6864	98	244	0
ecldata3.ecl	14	6908	98	248	0
ecldata3.ecl	15	7196	96	241	0
ecldata3.ecl	15	7240	96	242	0
ecldata3.ecl	15	7284	96	244	0
ecldata3.ecl	15	7328	96	248	0
